isco_code,anzsco_code,anzsco_title,match_quality
2267,251412,Orthoptist,exact
2269,234599,Life Scientists nec,partial
2269,234915,Exercise Physiologist,partial
2269,234999,Natural and Physical Science Professionals nec,partial
2269,251999,Health Diagnostic and Promotion Professionals nec,partial
2269,252111,Chiropractor,exact
2269,252112,Osteopath,exact
2269,252212,Homoeopath,partial
2269,252215,Traditional Māori Health Practitioner,partial
2269,252299,Complementary Health Therapists nec,partial
2269,252411,Occupational Therapist,exact
2269,252611,Podiatrist,exact
2269,272199,Counsellors nec,partial
2269,272314,Psychotherapist,partial
2269,451513,Herbalist (Western),partial
2310,242111,University Lecturer,exact
2310,242112,University Tutor,exact
2310,242211,Vocational Education Teacher / Polytechnic Teacher,partial
2320,242211,Vocational Education Teacher / Polytechnic Teacher,partial
2330,241211,Kaiako Kura Kaupapa Māori (Māori-medium Primary School Teacher),partial
2330,241212,Pouako Kura Kaupapa Māori (Māori-medium Primary School Senior Teacher),partial
2330,241213,Primary School Teacher,partial
2330,241311,Middle School Teacher / Intermediate School Teacher,exact
2330,241411,Secondary School Teacher,partial
2341,241211,Kaiako Kura Kaupapa Māori (Māori-medium Primary School Teacher),partial
2341,241212,Pouako Kura Kaupapa Māori (Māori-medium Primary School Senior Teacher),partial
2341,241213,Primary School Teacher,partial
2341,241411,Secondary School Teacher,partial
2342,241111,Early Childhood (Pre-primary School) Teacher,partial
2342,241112,Kaiako Kohanga Reo (Māori Language Nest Teacher),exact
2351,232413,Multimedia Designer,partial
2351,249111,Education Adviser,exact
2351,249112,Education Reviewer,exact
2352,241511,Special Needs Teacher,partial
2352,241512,Teacher of the Hearing Impaired,exact
2352,241513,Teacher of the Sight Impaired,exact
2352,241599,Special Education Teachers nec,partial
2352,249299,Private Tutors and Teachers nec,partial
2353,249299,Private Tutors and Teachers nec,partial
2353,249311,Teacher of English to Speakers of Other Languages,exact
2354,249214,Music Teacher (Private Tuition),exact
2355,249211,Art Teacher (Private Tuition),exact
2355,249212,Dance Teacher (Private Tuition),exact
2355,249213,Drama Teacher (Private Tuition),exact
2356,223211,ICT Trainer,partial
2356,223311,Training and Development Professional,partial
2356,242211,Vocational Education Teacher / Polytechnic Teacher,partial
2359,241511,Special Needs Teacher,partial
2359,241599,Special Education Teachers nec,partial
2359,249299,Private Tutors and Teachers nec,partial
2359,272115,Student Counsellor,exact
2411,221111,Accountant (General),partial
2411,221112,Management Accountant,exact
2411,221113,Taxation Accountant,exact
2411,221213,External Auditor,exact
2411,221214,Internal Auditor,exact
2412,222311,Financial Investment Adviser,exact
2412,222312,Financial Investment Manager,exact
2413,222299,Financial Dealers nec,partial
2421,139914,Quality Assurance Manager,partial
2421,224711,Management Consultant,partial
2421,224712,Organisation and Methods Analyst,exact
2421,261111,ICT Business Analyst,partial
2422,224411,Intelligence Officer,exact
2422,224412,Policy Analyst,exact
2422,224911,Electorate Officer,exact
2423,223111,Human Resource Adviser,exact
2423,223112,Recruitment Consultant,partial
2423,223113,Workplace Relations Adviser,partial
2423,272111,Careers Counsellor,exact
2423,411712,Disabilities Services Officer,partial
2424,223211,ICT Trainer,partial
2424,223311,Training and Development Professional,partial
2424,242211,Vocational Education Teacher / Polytechnic Teacher,partial
2431,212112,Media Producer (excluding Video),partial
2431,212411,Copywriter,partial
2431,225111,Advertising Specialist,partial
2431,225112,Market Research Analyst,partial
2431,225113,Marketing Specialist,partial
2432,212411,Copywriter,partial
2432,224912,Liaison Officer,partial
2432,225311,Public Relations Professional,exact
2433,225411,Sales Representative (Industrial Products),exact
2433,225412,Sales Representative (Medical and Pharmaceutical Products),exact
2433,225499,Technical Sales Representatives nec,partial
2433,234112,Agricultural Scientist,partial
2433,234518,Zoologist,partial
2434,225211,ICT Account Manager,exact
2434,225212,ICT Business Development Manager,exact
2434,225213,ICT Sales Representative,exact
2511,261111,ICT Business Analyst,partial
2511,261112,Systems Analyst,partial
2511,261313,Software Engineer,partial
2512,261212,Web Developer,partial
2512,261311,Analyst Programmer,partial
2512,261312,Developer Programmer,partial
2512,261313,Software Engineer,partial
2512,261399,Software and Applications Programmers nec,partial
2513,232413,Multimedia Designer,partial
2513,261211,Multimedia Specialist,partial
2513,261212,Web Developer,partial
2514,261212,Web Developer,partial
2514,261311,Analyst Programmer,partial
2514,261312,Developer Programmer,partial
2514,261313,Software Engineer,partial
2514,261399,Software and Applications Programmers nec,partial
2519,261314,Software Tester,partial
2519,263211,ICT Quality Assurance Engineer,exact
2519,263212,ICT Support Engineer,exact
2519,263213,ICT Systems Test Engineer,exact
2519,263299,ICT Support and Test Engineers nec,partial
2521,262111,Database Administrator,exact
2522,262113,Systems Administrator,exact
2522,263112,Network Administrator,exact
2523,263111,Computer Network and Systems Engineer,exact
2523,263113,Network Analyst,partial
2529,262112,ICT Security Specialist,partial
2611,271111,Barrister,partial
2611,271214,Intellectual Property Lawyer,exact
2611,271311,Solicitor,exact
2612,271211,Judge,exact
2612,271212,Magistrate,exact
2619,224913,Migration Agent / Immigration Consultant,exact
2619,271213,Tribunal Member,exact
2619,271299,Judicial and Other Legal Professionals nec,partial
2619,599214,Law Clerk,partial
2621,224211,Archivist,exact
2621,224212,Gallery or Museum Curator,exact
2621,224214,Records Manager,partial
2621,234911,Conservator,exact
2622,224214,Records Manager,partial
2622,224611,Librarian,partial
2622,224999,Information and Organisation Professionals nec,partial
2631,224311,Economist,exact
2631,224511,Land Economist,partial
2632,272414,Archaeologist,exact
2632,272499,Social Professionals nec,partial
2633,272411,Historian,exact
2633,272499,Social Professionals nec,partial
2634,272311,Clinical Psychologist,exact
2634,272312,Educational Psychologist,exact
2634,272313,Organisational Psychologist,exact
2634,272314,Psychotherapist,partial
2634,272399,Psychologists nec,exact
2635,272112,Drug and Alcohol Counsellor,exact
2635,272113,Family and Marriage Counsellor,exact
2635,272114,Rehabilitation Counsellor,partial
2635,272199,Counsellors nec,partial
2635,272314,Psychotherapist,partial
2635,272511,Social Worker,exact
2635,272611,Community Arts Worker,exact
2635,272612,Recreation Officer / Recreation Coordinator,exact
2635,272613,Welfare Worker,partial
2635,411714,Parole or Probation Officer,exact
2636,139999,Specialist Managers nec,partial
2636,272211,Minister of Religion,partial
2641,212211,Author,exact
2641,212212,Book or Script Editor,exact
2641,212415,Technical Writer,exact
2641,212499,Journalists and Other Writers nec,partial
2642,212412,Newspaper or Periodical Editor,partial
2642,212413,Print Journalist,exact
2642,212414,Radio Journalist,exact
2642,212416,Television Journalist,exact
2642,212499,Journalists and Other Writers nec,partial
2642,599913,Proof Reader,partial
2643,272412,Interpreter,exact
2643,272413,Translator,exact
2643,272499,Social Professionals nec,partial
2651,211411,Painter (Visual Arts),exact
2651,211412,Potter or Ceramic Artist,partial
2651,211413,Sculptor,exact
2651,232412,Illustrator,partial
2652,211113,Entertainer or Variety Artist,partial
2652,211199,"Actors, Dancers and Other Entertainers nec",partial
2652,211211,Composer,exact
2652,211212,Music Director,exact
2652,211213,Musician (Instrumental),exact
2652,211214,Singer,exact
2652,211299,Music Professionals nec,partial
2652,212113,Radio Presenter,partial
2653,211112,Dancer or Choreographer,exact
2654,212111,Artistic Director,exact
2654,212112,Media Producer (excluding Video),partial
2654,212311,"Art Director (Film, Television or Stage)",exact
2654,212312,"Director (Film, Television, Radio or Stage)",partial
2654,212313,Director of Photography,exact
2654,212314,Film and Video Editor,exact
2654,212315,Program Director (Television or Radio),partial
2654,212316,Stage Manager,partial
2654,212317,Technical Director,exact
2654,212318,Video Producer,exact
2654,212399,"Film, Television, Radio and Stage Directors nec",partial
2654,225111,Advertising Specialist,partial
2654,232311,Fashion Designer,partial
2655,211111,Actor,exact
2655,211199,"Actors, Dancers and Other Entertainers nec",partial
2656,212113,Radio Presenter,partial
2656,212114,Television Presenter,exact
2659,211113,Entertainer or Variety Artist,partial
2659,211199,"Actors, Dancers and Other Entertainers nec",partial
2659,211299,Music Professionals nec,partial
2659,212113,Radio Presenter,partial
3111,311411,Chemistry Technician,exact
3111,311412,Earth Science Technician,exact
3111,311414,School Laboratory Technician,exact
3111,311415,Hydrographer,exact
3111,311499,Science Technicians nec,partial
3111,821915,Surveyor's Assistant,partial
3112,312113,Building Inspector,partial
3112,312114,Construction Estimator,exact
3112,312116,Surveying or Spatial Science Technician,partial
3112,312212,Civil Engineering Technician,exact
3113,312312,Electrical Engineering Technician,exact
3114,312412,Electronic Engineering Technician,partial
3115,231215,Marine Surveyor,exact
3115,312512,Mechanical Engineering Technician,exact
3116,312999,Building and Engineering Technicians nec,partial
3117,312611,Safety Inspector,partial
3117,312912,Metallurgical or Materials Technician,partial
